timestamp,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2019-06-10 13:55:00,12.29,12.31,12.31,12.29,5870.8,0.02,0.16,12.308,12.334,12.356,11428.8,13061.1,20897.1,0.0
2019-06-10 14:00:00,12.31,12.31,12.3,12.29,7433.52,-0.01,-0.08,12.302,12.327,12.355,9874.57,12733.8,18577.2,0.0
2019-06-10 14:05:00,12.3,12.31,12.27,12.27,10241.8,-0.03,-0.24,12.294,12.317,12.3525,8326.27,12561.5,18379.9,0.01
2019-06-10 14:10:00,12.27,12.3,12.29,12.27,6994.4,0.02,0.16,12.294,12.306,12.351,7631.91,11659.7,18177.6,0.0
2019-06-10 14:15:00,12.29,12.29,12.28,12.28,5753.76,-0.01,-0.08,12.29,12.3,12.3455,7258.86,10741.7,15198.4,0.0
2019-06-10 14:20:00,12.28,12.29,12.29,12.27,7266.08,0.01,0.08,12.286,12.297,12.3415,7537.91,9483.35,14769.6,0.0
2019-06-10 14:25:00,12.29,12.29,12.27,12.27,7562.16,-0.02,-0.16,12.28,12.291,12.335,7563.64,8719.11,14434.4,0.0
2019-06-10 14:30:00,12.28,12.29,12.29,12.27,7814.32,0.01,0.08,12.284,12.289,12.327,7078.14,7702.21,12630.8,0.0
2019-06-10 14:35:00,12.28,12.32,12.32,12.28,13535.4,0.04,0.33,12.29,12.292,12.323,8386.34,8009.13,11458.5,0.01
2019-06-10 14:40:00,12.32,12.36,12.33,12.32,13458.4,0.01,0.08,12.3,12.295,12.3185,9927.27,8593.06,11154.0,0.01
2019-06-10 14:45:00,12.34,12.36,12.35,12.33,13102.2,0.01,0.08,12.312,12.299,12.3165,11094.5,9316.2,11188.6,0.01
2019-06-10 14:50:00,12.34,12.38,12.37,12.34,20342.6,0.03,0.24,12.332,12.306,12.3165,13650.6,10607.1,11670.5,0.01
2019-06-10 14:55:00,12.36,12.37,12.34,12.33,17022.6,-0.02,-0.16,12.342,12.313,12.315,15492.2,11285.2,11923.3,0.01
2019-06-10 15:00:00,12.34,12.35,12.34,12.34,7370.08,0.0,0.0,12.346,12.318,12.312,14259.2,11322.8,11491.2,0.0
2019-06-11 09:35:00,12.34,12.34,12.32,12.3,45306.0,-0.02,-0.16,12.344,12.322,12.311,20628.7,15278.0,13009.8,0.03
2019-06-11 09:40:00,12.31,12.4,12.39,12.31,44997.6,0.08,0.65,12.352,12.332,12.3145,27007.8,19051.1,14267.2,0.03
2019-06-11 09:45:00,12.39,12.39,12.38,12.35,31466.0,-0.01,-0.08,12.354,12.343,12.317,29232.5,21441.5,15080.3,0.02
2019-06-11 09:50:00,12.38,12.45,12.42,12.38,48613.9,0.04,0.32,12.37,12.356,12.3225,35550.7,25521.5,16611.8,0.03
2019-06-11 09:55:00,12.42,12.53,12.53,12.4,55390.6,0.11,0.89,12.408,12.377,12.3345,45154.8,29707.0,18858.1,0.03
2019-06-11 10:00:00,12.53,12.61,12.59,12.5,108429.0,0.06,0.48,12.462,12.403,12.349,57779.4,39204.1,23898.6,0.06
2019-06-11 10:05:00,12.58,12.62,12.61,12.56,53682.6,0.03,0.24,12.506,12.429,12.364,59516.4,43262.1,26289.2,0.03
2019-06-11 10:10:00,12.62,12.65,12.61,12.57,67272.7,-0.01,-0.08,12.552,12.453,12.3795,66677.8,47955.1,29281.1,0.04
2019-06-11 10:15:00,12.62,12.62,12.57,12.55,40499.0,-0.05,-0.4,12.582,12.476,12.3945,65054.8,50302.8,30794.0,0.02
2019-06-11 10:20:00,12.57,12.59,12.56,12.55,23003.0,-0.01,-0.08,12.588,12.498,12.408,58577.3,51866.0,31594.4,0.01
2019-06-11 10:25:00,12.57,12.57,12.55,12.54,18432.2,-0.02,-0.16,12.58,12.521,12.4215,40577.9,49178.7,32228.3,0.01
2019-06-11 10:30:00,12.56,12.65,12.61,12.55,40330.8,0.05,0.4,12.58,12.543,12.4375,37907.5,48712.0,33881.6,0.02
2019-06-11 10:35:00,12.62,12.63,12.58,12.57,15277.0,-0.04,-0.32,12.574,12.563,12.453,27508.4,47093.1,34267.3,0.01
2019-06-11 10:40:00,12.59,12.64,12.64,12.57,28532.0,0.05,0.4,12.588,12.585,12.4705,25115.0,45084.9,35303.2,0.02
2019-06-11 10:45:00,12.64,12.66,12.63,12.63,25587.0,-0.01,-0.08,12.602,12.595,12.486,25631.8,42104.5,35905.8,0.01
2019-06-11 10:50:00,12.63,12.64,12.62,12.6,16106.0,-0.01,-0.08,12.616,12.598,12.5005,25166.6,32872.2,36038.1,0.01
2019-06-11 10:55:00,12.61,12.7,12.7,12.61,52062.3,0.09,0.71,12.634,12.607,12.518,27512.9,32710.2,37986.2,0.03
2019-06-11 11:00:00,12.72,12.72,12.67,12.67,14376.7,-0.05,-0.39,12.652,12.613,12.533,27332.8,27420.6,37687.9,0.01
2019-06-11 11:05:00,12.68,12.7,12.67,12.67,14574.0,-0.01,-0.08,12.658,12.623,12.5495,24541.2,24828.1,37565.4,0.01
2019-06-11 11:10:00,12.67,12.68,12.65,12.65,10095.0,-0.02,-0.16,12.662,12.632,12.565,21442.8,23537.3,37701.7,0.01
